feature,metric,uplift_pp,n_has,n_abs,sig,p_value,cohen_d,baseline_mean,has_mean,quality_flags,scope,scope_value
food,Attention_T2B,3.065995378520736,285,1209,***,1.6476055594226905e-06,0.32086465872820424,64.00166567411084,67.06766105263158,multiple_testing_risk,OU,LATAM
food,Persuasion_T2B,2.3050995559618648,285,1209,***,0.00019952062518042445,0.26352588676313515,61.60773904052937,63.91283859649123,multiple_testing_risk,OU,LATAM
food,Likeability_Love_Like_T2B,3.8222924766009303,285,1209,***,1.2880319306825321e-06,0.3425269726527927,62.9469612076096,66.76925368421053,multiple_testing_risk,OU,LATAM
food,SCD_score,8.54086224274745,282,1161,***,4.033574446745521e-07,0.3445968267019431,48.18310938845822,56.72397163120567,multiple_testing_risk,OU,LATAM
seasonal,Attention_T2B,2.71154607582178,112,1382,***,0.00029825448367754807,0.27363092514408116,64.38326910274964,67.09481517857142,multiple_testing_risk,OU,LATAM
seasonal,Persuasion_T2B,-0.6212418970953149,112,1382,ns,0.8307669084884829,-0.06791376119784268,62.094039218523875,61.472797321428565,multiple_testing_risk,OU,LATAM
seasonal,Likeability_Love_Like_T2B,3.532800758476329,112,1382,***,0.0002745317017926775,0.30273311169446593,63.411271562952244,66.94407232142858,multiple_testing_risk,OU,LATAM
seasonal,SCD_score,7.37518729169685,103,1340,**,0.0030013010608296634,0.2913957257300697,49.32578358208956,56.7009708737864,multiple_testing_risk,OU,LATAM
additional_elements_and_product_placement,Attention_T2B,-1.663013750563036,116,1378,ns,0.13155641000020069,-0.162166674554875,64.7156671988389,63.05265344827586,multiple_testing_risk,OU,LATAM
additional_elements_and_product_placement,Persuasion_T2B,-2.1067304476752757,116,1378,*,0.041959204565475985,-0.21769014296068456,62.21104165457183,60.104311206896554,multiple_testing_risk,OU,LATAM
additional_elements_and_product_placement,Likeability_Love_Like_T2B,-0.40543613682998414,116,1378,ns,0.637378857515129,-0.03445882911155122,63.70759303338171,63.30215689655173,multiple_testing_risk,OU,LATAM
additional_elements_and_product_placement,SCD_score,1.213466889449638,110,1333,ns,0.6684479669866004,0.04650886580093836,49.75971492873219,50.97318181818182,multiple_testing_risk,OU,LATAM
emotions,Attention_T2B,0.06379911288151296,65,1429,ns,0.9727973555062162,0.00631195241099074,64.58376857942618,64.64756769230769,multiple_testing_risk,OU,LATAM
emotions,Persuasion_T2B,-0.45846742208107694,65,1429,ns,0.9322962123361854,-0.04811648391793335,62.06741357592722,61.60894615384615,multiple_testing_risk,OU,LATAM
emotions,Likeability_Love_Like_T2B,0.8758655197287024,65,1429,ns,0.4701256140838769,0.07289496388494858,63.638006787963604,64.51387230769231,multiple_testing_risk,OU,LATAM
emotions,SCD_score,1.715207468387464,61,1382,ns,0.6083717656942709,0.06500836793750939,49.77971056439942,51.494918032786885,multiple_testing_risk,OU,LATAM
music_style,Attention_T2B,1.0181430651872492,52,1442,ns,0.28386577763407794,0.10162970683709105,64.55110693481275,65.56925,multiple_testing_risk,OU,LATAM
music_style,Persuasion_T2B,-0.7502730982609562,52,1442,ns,0.5635106194810836,-0.08402910578894326,62.07358079056865,61.323307692307694,multiple_testing_risk,OU,LATAM
